ratio,sol_nodes_num,sol_nodes_ratio,remain_ratio
0.1,997.8888888888889,0.8301904233684599,0.8631892118244943
0.1,996.8,0.8292845257903494,0.8611572248862804
0.11,983.0,0.8178036605657238,0.8445017182130584
0.11,973.0,0.8094841930116472,0.8464799339963971
0.11,979.0,0.8144758735440932,0.8523176310920473
0.11,981.5,0.8165557404326124,0.8557443529162334
0.11,980.8,0.8159733777038269,0.8532161719881591
0.11,982.5,0.8173876871880199,0.8538912159878258
0.11,981.0,0.8161397670549084,0.8538182077086168
0.11,980.25,0.8155158069883527,0.8546593342163548
0.11,978.8888888888889,0.8143834350157145,0.8537142799871871
0.11,979.8,0.8151414309484192,0.8535887536278126
0.12,975.0,0.8111480865224625,0.8560140474100087
0.12,981.0,0.8161397670549084,0.8563924403716711
0.12,983.3333333333334,0.8180809761508597,0.8583046751983333
