	sample	Activated CD8 T cell	Central memory CD8 T cell	Effector memeory CD8 T cell	Activated CD4 T cell	Central memory CD4 T cell	Effector memeory CD4 T cell	T follicular helper cell	Gamma delta T cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Regulatory T cell	Activated B cell	Immature  B cell	Memory B cell	Natural killer cell	CD56bright natural killer cell	CD56dim natural killer cell	Myeloid derived suppressor cell	Natural killer T cell	Activated dendritic cell	Plasmacytoid dendritic cell	Immature dendritic cell	Macrophage	Eosinophil	Mast cell	Monocyte	Neutrophil	group
11	GSM3615303	0.25451080381331	0.3461350216802	0.162276683711325	-0.218943604399588	0.455553531604313	-0.0326881484304726	0.0558348322549659	0.3497898903265	0.119331565271084	-0.0471077188967748	-0.0377506601075423	0.101703923930658	-0.276086877779837	-0.135038261897871	-0.0171590678009331	0.290184253406408	0.263547394851957	0.412879998379421	0.145856102600507	-0.0264352570632506	0.188898272317122	0.366094086852586	0.321762382918422	0.118226855354521	-0.310895915561618	-0.167704525310573	0.571650668596754	-0.317378717520018	NASH
12	GSM3615305	0.330327419495035	0.343006172768715	0.214871896978269	-0.138661281759155	0.5044551224358	-0.025432014902602	0.0986671167918962	0.361311187146184	0.146708344821621	-0.0331586293402611	-0.0109910686753982	0.164538968206788	-0.243791970107285	-0.0931409088883168	0.0299519537782101	0.298862738612056	0.256084823571435	0.409976335138587	0.202945656055274	-0.0156283216254574	0.205209100194306	0.355059196905838	0.331780582442002	0.106852700381931	-0.297820887049291	-0.109531929773488	0.572170053676814	-0.281838397167409	NASH
13	GSM3615306	0.287120529464518	0.351925945581442	0.188743750543039	-0.0997752845993175	0.513960064348834	0.0202678353423274	0.0701023705671989	0.368109160555691	0.150911049448026	-0.0431325972378658	-0.0117319234243875	0.244287968397895	-0.193131825155232	-0.0725018679110155	0.0111160958295168	0.313961107046052	0.255415479038639	0.394081186758953	0.259055872011842	0.00307545259262353	0.225513513033704	0.355196368732836	0.339041509539366	0.139542474545898	-0.278878276542714	-0.0540255698941281	0.583455637702315	-0.249749159562001	NASH
14	GSM3615307	0.296628307945351	0.336964753313545	0.211681639506002	-0.152320812442098	0.460690922848117	-0.00193290572828492	0.0460146604065229	0.356881811059522	0.138777566878894	-0.0451103798509236	-0.0467552864656609	0.121954354972725	-0.267431884545805	-0.045615920590554	-0.0364002204218988	0.277093318700446	0.271445679069934	0.416944255923605	0.168672387249405	-0.0129177391457677	0.170540836234152	0.356066351320631	0.359865841498783	0.138095104337888	-0.321211720564792	-0.146204647027688	0.596067252342668	-0.26227191510003	NASH
15	GSM3615308	0.362724132422994	0.40652954233379	0.209439910005062	-0.0658101860049303	0.523790660285004	0.0591592893279015	0.113025918636035	0.374299094262343	0.167590249823833	-0.0967770524146623	-0.00173955237450224	0.232151551585277	-0.289158873289248	-0.0350540825984857	0.0453933702568241	0.335024611232248	0.269419846214013	0.383532150959282	0.305773356121384	0.0332853977628047	0.228871545720844	0.362271381665219	0.395154298023616	0.120798404103856	-0.287539882970718	-0.0221805599838875	0.572614124735765	-0.195618573348082	NASH
16	GSM3615309	0.287778369728576	0.377757265601312	0.217079426260062	-0.124354137722575	0.505150911983024	-0.00434175119847651	0.0863928583661913	0.395355036101515	0.134154039696147	-0.0707126424155204	-0.0459333822980929	0.198161027566216	-0.272050000254049	-0.107544692290068	0.0226059946806519	0.293572995509071	0.277898745770038	0.399000129241113	0.241666326037891	0.0189495987692669	0.223514559424271	0.367577626487587	0.370077722645415	0.118759809171957	-0.299562522180521	-0.132369355677822	0.581568075500382	-0.258070369091313	NASH
17	GSM3615310	0.360593047401472	0.382277847811505	0.23680716622788	-0.126133647679405	0.506930961561075	0.0169672770597983	0.121271645142549	0.378799518739468	0.131136946516691	-0.0688154982678025	-0.000801833887847774	0.229392526490683	-0.243989219292	-0.0649389819622132	0.0313652354538284	0.317479862041251	0.283225792705009	0.390671315983635	0.289219154055405	0.0434883087134584	0.220730529583218	0.362348537978702	0.368604786562264	0.12199863463363	-0.293355464440457	-0.0343253456652974	0.59351001143724	-0.230587880732361	NASH
18	GSM3615311	0.343124564444194	0.39922146556351	0.242426011716461	-0.113090645872942	0.517036899357504	0.00779157884719826	0.117497284900414	0.349460805696862	0.150904471594767	-0.0671296982977415	-0.0142424448579907	0.239049339600667	-0.226486986099695	-0.00456716535719546	0.0462225283608949	0.331081670169713	0.275930527604601	0.388256637937918	0.302828084711955	0.0270380672714605	0.213836378433105	0.349150350193372	0.363696600729978	0.146211537726959	-0.267992170293454	-0.0472756391139558	0.582216749920469	-0.170324932930271	NASH
19	GSM3615312	0.301495072937379	0.370814150768366	0.196566560619524	-0.147688566749612	0.501656236133937	0.00419604608703109	0.075568384239028	0.357054399194949	0.140758089352676	-0.0946464970511301	-0.0253804562917406	0.174381555147165	-0.236721984797866	-0.0827714828266218	-0.00517103200546806	0.311306730493867	0.279548657329704	0.386186146991602	0.294440812760987	0.000109550682557953	0.199150352301206	0.355772841411175	0.33958211370493	0.144326632095966	-0.337925344557972	-0.0527708830317961	0.597885664080637	-0.227272496890106	NASH
20	GSM3615313	0.340842275504786	0.42212409628788	0.280880128311494	-0.000113122697125629	0.546802586026382	0.0587859169753871	0.151667774366611	0.412612077472798	0.175244555536843	-0.0678663599586833	-0.00148764782730559	0.317523354087711	-0.162937548569549	0.0414998073180973	0.080437839372912	0.341881305570743	0.278731477322705	0.404881547386369	0.398502715595585	0.0445705211358083	0.251701279125612	0.369905409343654	0.365496971931621	0.215835150360657	-0.264181255325582	0.101160788255563	0.598370504734152	-0.185258148338848	NASH
